"NYS Index Crimes by County in 2023 Data Source: DCJS, Uniform Crime Reporting File. Includes all reports received as of 11/3/2025.",,,,
County/Region,Year ,Population,Index Total Count,Violent Total Count
Albany,2023,318366,9830,1354
Allegany,2023,46624,415,88
Bronx,2023,1344322,50895,16552
Broome,2023,197632,4849,555
Cattaraugus,2023,74831,1168,149
Cayuga,2023,74789,989,167
Chautauqua,2023,125906,2494,358
Chemung,2023,80609,1459,165
Chenango,2023,46395,483,68
Clinton,2023,78661,1321,148
Columbia,2023,61547,670,73
Cortland,2023,46054,1073,103
Delaware,2023,45235,386,61
Dutchess,2023,300171,3895,518
Erie,2023,954076,26242,3128
Essex,2023,35542,364,56
Franklin,2023,46024,721,99
Fulton,2023,52593,630,98
Genesee,2023,57317,989,112
Greene,2023,48387,430,70
Hamilton,2023,5168,31,6
Herkimer,2023,60029,1174,158
Jefferson,2023,117429,1950,202
Kings,2023,2538277,63803,15474
Lewis,2023,26912,171,25
Livingston,2023,61727,660,65
Madison,2023,67030,891,107
Monroe,2023,753045,21386,2199
Montgomery,2023,49949,666,49
Nassau,2023,1387456,18086,2258
New York,2023,1583138,69720,10726
Niagara,2023,211347,3491,518
Oneida,2023,228669,4664,591
Onondaga,2023,467647,11485,1601
Ontario,2023,113481,1561,191
Orange,2023,410501,5213,723
Orleans,2023,39073,375,63
Oswego,2023,119326,1708,209
Otsego,2023,62131,536,59
Putnam,2023,98760,453,48
Queens,2023,2232017,55183,11531
Rensselaer,2023,160155,3324,417
Richmond,2023,486290,8636,1723
Rockland,2023,341596,4126,451
Saratoga,2023,241555,2951,296
Schenectady,2023,161313,4301,582
Schoharie,2023,30377,172,18
Schuyler,2023,17636,67,15
Seneca,2023,32627,448,43
St Lawrence,2023,107879,1489,152
Steuben,2023,92720,1246,203
Suffolk,2023,1535141,20999,1552
Sullivan,2023,80606,882,163
Tioga,2023,47730,316,53
Tompkins,2023,107993,2201,139
Ulster,2023,183617,1720,194
Warren,2023,65929,1023,99
Washington,2023,60974,457,105
Wayne,2023,91561,1438,198
Westchester,2023,990063,12035,1801
Wyoming,2023,39494,266,63
Yates,2023,24444,164,28